weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
,,,,,,,,,,,,,,,,,,,
iw5_44magnum,iw5_44magnum_rdw_up,,1000,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
iw5_aa12,iw5_aa12_up,,1000,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
iw5_acr,iw5_acr_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
iw5_ak47,iw5_ak47_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
iw5_ak74u,iw5_ak74u_up,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
iw5_as50,iw5_as50_up,,1600,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
iw5_m82a1,iw5_m82a1_up,,1600,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
iw5_cm901,iw5_cm901_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
iw5_desert_eagle,iw5_desert_eagle_up,,1500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
iw5_dragunov,iw5_dragunov_up,,1500,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
iw5_fad,iw5_fad_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
iw5_fiveseven,iw5_fiveseven_up,,600,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
iw5_fiveseven_rdw,iw5_fiveseven_rdw_up,,1100,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
iw5_fmg9,iw5_fmg9_rdw_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
iw5_g18,iw5_g18_rdw_up,,600,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
iw5_g36c,iw5_g36c_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
iw5_ksg12,iw5_ksg12_up,,1000,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
iw5_l86_lsw,iw5_l86_lsw_up,,2250,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
iw5_l118a,iw5_l118a_up,,1500,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
iw5_m4a1,iw5_m4a1_up,,1300,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
iw5_m16a4,iw5_m16a4_up,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
iw5_m60e4,iw5_m60e4_up,,2750,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
iw5_m320_glm,iw5_m320_glm_up,,1100,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
iw5_mg36,iw5_mg36_up,,2250,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
iw5_mk14,iw5_mk14_up,,1300,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
iw5_mk46,iw5_mk46_up,,2500,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
iw5_model1887,iw5_model1887_rdw_up,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
iw5_mp5,iw5_mp5_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
iw5_mp7,iw5_mp7_up,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
iw5_mp9,iw5_mp9_up,,900,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
iw5_mp412,iw5_mp412_up,,1100,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
iw5_msr,iw5_msr_up,,1500,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
iw5_p90,iw5_p90_up,,1400,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
iw5_p99,iw5_p99_up,,300,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
iw5_pkp,iw5_pkp_up,,2750,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
iw5_pm9,iw5_pm9_up,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
iw5_pp90m1,iw5_pp90m1_up,,1350,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
iw5_rpg7,iw5_rpg7_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
iw5_rsass,iw5_rsass_up,,1500,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
iw5_scarl,iw5_scarl_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
iw5_skorpion,iw5_skorpion_up,,850,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
iw5_smaw,iw5_smaw_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
iw5_spas12,iw5_spas12_up,,1250,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
iw5_stinger,iw5_stinger_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
iw5_striker,iw5_striker_up,,1250,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
iw5_type95,iw5_type95_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
iw5_ump45,iw5_ump45_up,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
iw5_usas12,iw5_usas12_up,,1300,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
iw5_usp45,iw5_usp45_up,,300,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
iw5_xm25,iw5_xm25_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
