weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
,,,,,,,,,,,,,,,,,,,
s1_sn6,s1_sn6_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s1_xmg_rdw,s1_xmg_rdw_up,,3000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s1_pytaek,s1_pytaek_rdw_up,,2700,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s1_arx160,s1_arx160_up,,1250,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s1_bulldog,s1_bulldog_up,,1200,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s1_ak12,s1_ak12_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s1_ameli,s1_ameli_up,,2750,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s1_amr9,s1_amr9_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s1_asm1,s1_asm1_up,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s1_atlas_20mm,s1_atlas_20mm_up,,1700,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s1_atlas45,s1_atlas45_rdw_up,,300,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s1_bal27,s1_bal27_up,,1300,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s1_cel3,s1_cel3_up,,1250,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s1_hbra3,s1_hbra3_up,,1300,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s1_imr,s1_imr_up,,1250,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s1_kf5,s1_kf5_up,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s1_lynx,s1_lynx_up,,1200,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s1_m1_irons,s1_m1_irons_rdw_up,,1000,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s1_mdl,s1_mdl_up,,750,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
s1_mk14,s1_mk14_up,,1000,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s1_mors,s1_mors_up,,1250,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s1_mp11,s1_mp11_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s1_mp443,s1_mp443_rdw_up,,600,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s1_ohm,s1_ohm_up,,2500,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s1_pdw,s1_pdw_rdw_up,,800,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s1_repulsor,s1_repulsor_up,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s1_ae4,s1_ae4_up,,1000,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s1_mgturret,s1_mgturret_up,8000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s1_rw1,s1_rw1_up,,1200,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s1_s12,s1_s12_up,,1300,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s1_sac3,s1_sac3_up,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s1_sac3_rdw,s1_sac3_rdw_up,,1500,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s1_tac19,s1_tac19_up,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s1_ak47,s1_ak47_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s1_m1911,s1_m1911_rdw_up,,1200,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s1_blunderbuss,s1_blunderbuss_up,,2000,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s1_m1garand,s1_m1garand_up,,500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s1_m16,s1_m16_up,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s1_maaws,s1_maaws_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
s1_mahem,s1_mahem_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
s1_mp40,s1_mp40_up,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s1_sten,s1_sten_up,,1400,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s1_stg44,s1_stg44_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s1_stingerm7,s1_stingerm7_up,,4000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
s1_svo,s1_svo_up,,1600,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s1_m160,s1_m160_up,,1600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
