weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
,,,,,,,,,,,,,,,,,,,
h1_44magnum,h1_44magnum_up,,1250,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h1_ak47,h1_ak47_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h1_ak74u,h1_ak74u_up,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h1_m82a1,h1_m82a1_up,,2500,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
h1_m1014,h1_m1014_up,,1300,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
h1_beredmk8,h1_beredmk8_up,,2000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
h1_m9,h1_m9_rdw_up,,400,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h1_bos14,h1_bos14_up,,1300,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h1_br9,h1_br9_up,,300,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h1_d25s,h1_d25s_up,,1750,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
h1_deagle,h1_deagle_rdw_up,,1250,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h1_dragunov,h1_dragunov_up,,1800,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
h1_fang45,h1_fang45_up,,1500,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h1_g3,h1_g3_up,,500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h1_g36c,h1_g36c_up,,1250,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h1_kam12,h1_kam12_up,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
h1_lynxcq300,h1_lynxcq300_up,,1600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h1_m4carbine,h1_m4carbine_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h1_m14,h1_m14_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h1_m16a4,h1_m16a4_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h1_m21,h1_m21_up,,1800,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
h1_m40a3,h1_m40a3_up,,2000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
h1_m60e4,h1_m60e4_up,,2750,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
h1_m249,h1_m249_up,,2250,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
h1_minigun,h1_minigun_up,,8000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
h1_m1911,h1_m1911_rdw_up,,300,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h1_mac10,h1_mac10_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h1_mini_uzi,h1_mini_uzi_up,,1100,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h1_mp5,h1_mp5_up,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h1_mp44,h1_mp44_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h1_p90,h1_p90_up,,1600,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h1_pkm,h1_pkm_up,,2750,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
h1_pkpsd9,h1_pkpsd9_up,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h1_prokolot,h1_prokolot_up,,700,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h1_ranger,h1_ranger_up,,1250,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
