weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
,,,,,,,,,,,,,,,,,,,
s2_as44,s2_as44_up,,1300,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_m1927,s2_m1927_up,,1200,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s2_austen,s2_austen_up,,1400,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s2_avs36,s2_avs36_up,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_bar,s2_bar_up,,1600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_bazooka,s2_bazooka_up,,4000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
s2_bechowiec,s2_bechowiec_up,,800,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s2_beretta38,s2_beretta38_up,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s2_blunderbuss,s2_blunderbuss_up,,2000,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s2_blyskawica,s2_blyskawica_up,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s2_breda30,s2_breda30_up,,2200,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s2_bredapg35,s2_bredapg35_up,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_bren,s2_bren_up,,2800,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s2_chatellerault,s2_chatellerault_up,,2500,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s2_delisle,s2_delisle_up,,1850,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s2_emp44,s2_emp44_up,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s2_enfieldno2,s2_enfieldno2_up,,1300,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s2_erma_emp,s2_erma_emp_up,,1350,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s2_fedorov,s2_fedorov_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_fg42,s2_fg42_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_gewehr43,s2_gewehr43_up,,600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_grease_gun,s2_grease_gun_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s2_grossfuss_stg,s2_grossfuss_stg_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_kar98k_irons,s2_kar98k_irons_up,,1300,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s2_kar98k_scope,s2_kar98k_scope_up,,2200,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s2_kbsp38m,s2_kbsp38m_up,2000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s2_kgm21,s2_kgm21_up,,1600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_lad,s2_lad_up,,2500,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s2_lee_enfield,s2_lee_enfield_up,2000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s2_lewis,s2_lewis_up,,2500,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s2_luger,s2_luger_up,,300,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s2_m1garand,s2_m1garand_up,,1300,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_m1a1carbine,s2_m1a1carbine_up,,700,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_m2carbine,s2_m2carbine_up,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s2_m2hyde,s2_m2hyde_up,,1350,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s2_m30,s2_m30_up,,2000,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s2_m1903,s2_m1903_up,2250,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
