weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
,,,,,,,,,,,,,,,,,,,
h2_44magnum,h2_44magnum_up,,1250,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h2_aa12,h2_aa12_up,,2000,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
h2_acr,h2_acr_up,,1300,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h2_ak47,h2_ak47_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h2_at4,h2_at4_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
h2_aug_hbar,h2_aug_hbar_up,,2000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
h2_m82a1,h2_m82a1_up,,3250,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
h2_m9,h2_m9_rdw_up,,300,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h2_deagle,h2_deagle_rdw_up,,1250,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h2_dragunov,h2_dragunov_up,,2250,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
h2_f2000,h2_f2000_up,,1250,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h2_fal,h2_fal_up,,1700,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h2_famas,h2_famas_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h2_g18,h2_g18_rdw_up,,1100,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h2_intervention,h2_intervention_up,,3000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
h2_l86_lsw,h2_l86_lsw_up,,2250,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
h2_m4a1,h2_m4a1_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h2_m14ebr,h2_m14ebr_up,,2500,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
h2_m16a4,h2_m16a4_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h2_m93raffica,h2_m93raffica_up,,750,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h2_m240,h2_m240_up,,3000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
h2_m1014,h2_m1014_up,,1300,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
h2_m1911,h2_m1911_up,,300,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
h2_mg4,h2_mg4_up,,2750,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
h2_mini_uzi,h2_mini_uzi_rdw_up,,1100,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h2_model1887,h2_model1887_up,,1750,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
h2_mp5k,h2_mp5k_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h2_p90,h2_p90_up,,1500,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h2_pp2000,h2_pp2000_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h2_ranger,h2_ranger_rdw_up,,500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
h2_rpd,h2_rpd_up,,2500,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
h2_rpg7,h2_rpg7_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
h2_scarh,h2_scarh_up,,1750,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h2_spas12,h2_spas12_up,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
h2_stinger,h2_stinger_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
h2_striker,h2_striker_up,,1750,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
h2_tar21,h2_tar21_up,,1300,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
h2_thumper,h2_thumper_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
h2_tmp,h2_tmp_rdw_up,,750,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
h2_ump45,h2_ump45_up,,1400,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
