weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
,,,,,,,,,,,,,,,,,,,
s4_3line_scope,s4_3line_scope_up,,3500,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s4_3line_irons,s4_3line_irons_up,,2600,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s4_1911,s4_1911_rdw_up,,300,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s4_as44,s4_as44_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s4_automaton,s4_automaton_up,,1600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s4_bar,s4_bar_up,,1800,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s4_bren,s4_bren_up,,2250,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s4_combat_shotgun,s4_combat_shotgun_up,,1600,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s4_cooper_carbine,s4_cooper_carbine_up,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s4_double_barrel,s4_double_barrel_up,,1200,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s4_double_barrel_sawn,s4_double_barrel_sawn_rdw_up,,500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s4_dp27,s4_dp27_up,,3000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s4_einhorn,s4_einhorn_up,,1300,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s4_g43,s4_g43_up,,500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s4_gorenko_rifle,s4_gorenko_rifle_up,,4000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s4_gracey_auto,s4_gracey_auto_up,,1800,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
s4_itra_burst,s4_itra_burst_up,,1300,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s4_kar98k_scope,s4_kar98k_scope_up,,3000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s4_kar98k_irons,s4_kar98k_irons_up,,2200,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s4_klauser,s4_klauser_up,,300,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s4_lee_enfield_scope,s4_lee_enfield_scope_up,,3250,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s4_lee_enfield_irons,s4_lee_enfield_irons_up,,2200,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s4_m1bazooka,s4_m1bazooka_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
s4_m1garand,s4_m1garand_up,,1750,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s4_m1928,s4_m1928_up,,1500,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s4_thompsonm1a1,s4_thompsonm1a1_up,,1200,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s4_machinepistol,s4_machinepistol_rdw_up,,800,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s4_mg42,s4_mg42_up,,3500,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s4_mk11,s4_mk11_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
s4_mp40,s4_mp40_up,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s4_mp41,s4_mp41_up,,1200,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s4_nz41,s4_nz41_up,,1550,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s4_owen_gun,s4_owen_gun_up,,1400,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s4_ppsh41_base,s4_ppsh41_base_up,,1400,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s4_ppsh41_drum,s4_ppsh41_drum_up,,2000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s4_pps43,s4_pps43_up,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s4_ratt,s4_ratt_up,,900,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s4_sten,s4_sten_up,,1350,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s4_stg44,s4_stg44_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s4_svt40,s4_svt40_up,,2000,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s4_topbreak,s4_topbreak_rdw_up,,1250,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
s4_type11,s4_type11_up,,2500,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
s4_type99_scope,s4_type99_scope_up,,2500,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s4_type99_irons,s4_type99_irons_up,,1750,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
s4_type100,s4_type100_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
s4_volkstg,s4_volkstg_up,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
s4_welgun,s4_welgun_up,,1100,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
