Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber

#MW2:CR Colt Anaconda ".44 Magnum"
wpn_h2_44magnum_shot_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot.wav,,,wpn_h2_shot_plr,,wpn_h2_44magnum_shot_low_plr
wpn_h2_44magnum_shot_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot.wav,,,wpn_h2_shot_npc,,wpn_h2_44magnum_shot_low_npc
wpn_h2_44magnum_pap_shot_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot.wav,,,wpn_h2_shot_plr,,wpn_h2_44magnum_pap_flux_plr
wpn_h2_44magnum_pap_shot_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot.wav,,,wpn_h2_shot_npc,,wpn_h2_44magnum_pap_flux_npc
wpn_h2_44magnum_shot_low_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot_low1.wav,,,wpn_h2_shot_plr,,wpn_h2_44magnum_mech_plr
wpn_h2_44magnum_shot_low_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot_low2.wav,,,wpn_h2_shot_plr,,wpn_h2_44magnum_mech_plr
wpn_h2_44magnum_shot_low_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot_low3.wav,,,wpn_h2_shot_plr,,wpn_h2_44magnum_mech_plr
wpn_h2_44magnum_shot_low_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot_low4.wav,,,wpn_h2_shot_plr,,wpn_h2_44magnum_mech_plr
wpn_h2_44magnum_shot_low_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot_low1.wav,,,wpn_h2_shot_npc,,wpn_h2_44magnum_mech_npc
wpn_h2_44magnum_shot_low_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot_low2.wav,,,wpn_h2_shot_npc,,wpn_h2_44magnum_mech_npc
wpn_h2_44magnum_shot_low_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot_low3.wav,,,wpn_h2_shot_npc,,wpn_h2_44magnum_mech_npc
wpn_h2_44magnum_shot_low_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_shot_low4.wav,,,wpn_h2_shot_npc,,wpn_h2_44magnum_mech_npc
wpn_h2_44magnum_mech_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_mech1.wav,,,wpn_h2_shot_plr,,wpn_h2_44magnum_sub_plr
wpn_h2_44magnum_mech_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_mech2.wav,,,wpn_h2_shot_plr,,wpn_h2_44magnum_sub_plr
wpn_h2_44magnum_mech_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_mech3.wav,,,wpn_h2_shot_plr,,wpn_h2_44magnum_sub_plr
wpn_h2_44magnum_mech_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_mech4.wav,,,wpn_h2_shot_plr,,wpn_h2_44magnum_sub_plr
wpn_h2_44magnum_mech_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_mech1.wav,,,wpn_h2_shot_npc,,wpn_h2_44magnum_sub_npc
wpn_h2_44magnum_mech_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_mech2.wav,,,wpn_h2_shot_npc,,wpn_h2_44magnum_sub_npc
wpn_h2_44magnum_mech_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_mech3.wav,,,wpn_h2_shot_npc,,wpn_h2_44magnum_sub_npc
wpn_h2_44magnum_mech_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_mech4.wav,,,wpn_h2_shot_npc,,wpn_h2_44magnum_sub_npc
wpn_h2_44magnum_sub_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_sub.wav,,,wpn_h2_shot_plr,,wpn_h2_44magnum_tail_plr
wpn_h2_44magnum_sub_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_sub.wav,,,wpn_h2_shot_npc,,wpn_h2_44magnum_tail_npc
wpn_h2_44magnum_tail_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_tail_ext.wav,,,wpn_h2_reverb_ext_plr,,
wpn_h2_44magnum_tail_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_tail_ext.wav,,,wpn_h2_reverb_ext_npc,,
wpn_h2_44magnum_tail_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_tail_int.wav,,,wpn_h2_reverb_int_plr,,
wpn_h2_44magnum_tail_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_tail_int.wav,,,wpn_h2_reverb_int_npc,,
wpn_h2_44magnum_pap_flux_plr,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_pap_flux.wav,,,wpn_h2_pap_shot_plr,,wpn_h2_44magnum_shot_low_plr
wpn_h2_44magnum_pap_flux_npc,,,skye_ports\h2_44magnum\fire\wpn_h2_44magnum_pap_flux.wav,,,wpn_h2_pap_shot_npc,,wpn_h2_44magnum_shot_low_npc
wpn_h2_44magnum_bullets_in,,,skye_ports\h2_44magnum\foley\wpn_h2_44magnum_bullets_in.wav,,,wpn_h2_reload_plr,,
wpn_h2_44magnum_close,,,skye_ports\h2_44magnum\foley\wpn_h2_44magnum_close.wav,,,wpn_h2_reload_plr,,
wpn_h2_44magnum_inspect_part1,,,skye_ports\h2_44magnum\foley\wpn_h2_44magnum_inspect_part1.wav,,,wpn_h2_reload_plr,,
wpn_h2_44magnum_inspect_part2,,,skye_ports\h2_44magnum\foley\wpn_h2_44magnum_inspect_part2.wav,,,wpn_h2_reload_plr,,
wpn_h2_44magnum_inspect_part3,,,skye_ports\h2_44magnum\foley\wpn_h2_44magnum_inspect_part3.wav,,,wpn_h2_reload_plr,,
wpn_h2_44magnum_open,,,skye_ports\h2_44magnum\foley\wpn_h2_44magnum_open.wav,,,wpn_h2_reload_plr,,
wpn_h2_44magnum_start,,,skye_ports\h2_44magnum\foley\wpn_h2_44magnum_start.wav,,,wpn_h2_reload_plr,,

#MW2:CR Atchisson AA-12 CQB
wpn_h2_aa12_shot_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_shot_low_plr
wpn_h2_aa12_shot_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_shot_low_npc
wpn_h2_aa12_pap_shot_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_pap_flux_plr
wpn_h2_aa12_pap_shot_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_pap_flux_npc
wpn_h2_aa12_shot_low_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot_low1.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_mech_plr
wpn_h2_aa12_shot_low_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot_low2.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_mech_plr
wpn_h2_aa12_shot_low_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot_low3.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_mech_plr
wpn_h2_aa12_shot_low_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot_low4.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_mech_plr
wpn_h2_aa12_shot_low_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot_low1.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_mech_npc
wpn_h2_aa12_shot_low_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot_low2.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_mech_npc
wpn_h2_aa12_shot_low_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot_low3.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_mech_npc
wpn_h2_aa12_shot_low_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_shot_low4.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_mech_npc
wpn_h2_aa12_mech_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_mech1.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_sub_plr
wpn_h2_aa12_mech_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_mech2.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_sub_plr
wpn_h2_aa12_mech_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_mech3.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_sub_plr
wpn_h2_aa12_mech_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_mech4.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_sub_plr
wpn_h2_aa12_mech_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_mech1.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_sub_npc
wpn_h2_aa12_mech_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_mech2.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_sub_npc
wpn_h2_aa12_mech_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_mech3.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_sub_npc
wpn_h2_aa12_mech_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_mech4.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_sub_npc
wpn_h2_aa12_sub_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_sub.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_sub_lyr_plr
wpn_h2_aa12_sub_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_sub.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_sub_lyr_npc
wpn_h2_aa12_sub_lyr_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_sub_lyr.wav,,,wpn_h2_shot_plr,,wpn_h2_aa12_tail_plr
wpn_h2_aa12_sub_lyr_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_sub_lyr.wav,,,wpn_h2_shot_npc,,wpn_h2_aa12_tail_npc
wpn_h2_aa12_tail_plr,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_tail_ext.wav,,,wpn_h2_reverb_ext_plr,,
wpn_h2_aa12_tail_npc,,,skye_ports\h2_aa12\fire\wpn_h2_aa12_tail_ext.wav,,,wpn_h2_reverb_ext_npc,,
